bLacKpoisoN: 35.54 TrueSkill (mu 40.73, sigma 1.73), 124 kills - 96 deaths
AttackeR: 34.75 TrueSkill (mu 37.72, sigma 0.99), 272 kills - 186 deaths
xelos: 34.74 TrueSkill (mu 38.05, sigma 1.10), 128 kills - 103 deaths
wanr0: 34.43 TrueSkill (mu 38.21, sigma 1.26), 56 kills - 61 deaths
INNOPY: 34.40 TrueSkill (mu 38.57, sigma 1.39), 74 kills - 51 deaths
Detrony: 33.39 TrueSkill (mu 37.25, sigma 1.29), 88 kills - 62 deaths
disturbed: 33.11 TrueSkill (mu 37.57, sigma 1.49), 38 kills - 28 deaths
LOVEYY: 32.99 TrueSkill (mu 38.62, sigma 1.88), 37 kills - 27 deaths
Mo: 32.66 TrueSkill (mu 35.10, sigma 0.81), 254 kills - 216 deaths
topguN: 32.47 TrueSkill (mu 35.16, sigma 0.90), 107 kills - 104 deaths
tucks: 32.44 TrueSkill (mu 35.51, sigma 1.03), 169 kills - 141 deaths
Brehze: 32.41 TrueSkill (mu 38.84, sigma 2.14), 71 kills - 53 deaths
S1ck: 32.16 TrueSkill (mu 36.56, sigma 1.47), 51 kills - 46 deaths
quix: 31.88 TrueSkill (mu 34.42, sigma 0.85), 163 kills - 165 deaths
cLb: 31.68 TrueSkill (mu 34.40, sigma 0.91), 213 kills - 190 deaths
khobra: 31.19 TrueSkill (mu 34.11, sigma 0.97), 110 kills - 109 deaths
DD: 31.08 TrueSkill (mu 33.52, sigma 0.82), 230 kills - 206 deaths
Lightstep: 31.02 TrueSkill (mu 33.48, sigma 0.82), 239 kills - 238 deaths
zewsy: 30.83 TrueSkill (mu 33.28, sigma 0.82), 302 kills - 261 deaths
Sonic: 30.83 TrueSkill (mu 34.87, sigma 1.35), 74 kills - 50 deaths
natu: 30.78 TrueSkill (mu 35.11, sigma 1.44), 27 kills - 28 deaths
fancy1: 30.77 TrueSkill (mu 33.22, sigma 0.82), 256 kills - 241 deaths
Karsa: 30.72 TrueSkill (mu 33.32, sigma 0.87), 167 kills - 147 deaths
ELUSIVE: 30.59 TrueSkill (mu 33.94, sigma 1.12), 75 kills - 56 deaths
spoof: 30.58 TrueSkill (mu 33.58, sigma 1.00), 113 kills - 103 deaths
dexter: 30.49 TrueSkill (mu 33.15, sigma 0.89), 129 kills - 153 deaths
kaze: 30.45 TrueSkill (mu 32.95, sigma 0.83), 340 kills - 247 deaths
KORN: 30.38 TrueSkill (mu 34.13, sigma 1.25), 41 kills - 40 deaths
iGm: 30.37 TrueSkill (mu 37.32, sigma 2.32), 22 kills - 17 deaths
sXe: 30.37 TrueSkill (mu 35.16, sigma 1.60), 48 kills - 34 deaths
crazyguy: 30.29 TrueSkill (mu 32.98, sigma 0.90), 252 kills - 188 deaths
funtz: 30.24 TrueSkill (mu 36.79, sigma 2.18), 25 kills - 12 deaths
HEHE: 30.16 TrueSkill (mu 34.67, sigma 1.50), 64 kills - 52 deaths
krii: 30.16 TrueSkill (mu 33.45, sigma 1.10), 142 kills - 120 deaths
maouim3: 30.15 TrueSkill (mu 34.62, sigma 1.49), 39 kills - 41 deaths
HS: 30.13 TrueSkill (mu 32.91, sigma 0.93), 161 kills - 142 deaths
dipparn: 30.08 TrueSkill (mu 34.38, sigma 1.43), 117 kills - 92 deaths
zYNC: 30.07 TrueSkill (mu 36.06, sigma 2.00), 31 kills - 29 deaths
DomiNate: 29.91 TrueSkill (mu 32.39, sigma 0.83), 172 kills - 185 deaths
KAB0M: 29.71 TrueSkill (mu 32.16, sigma 0.82), 282 kills - 270 deaths
SAHBAZ: 29.66 TrueSkill (mu 33.31, sigma 1.22), 66 kills - 54 deaths
somebody: 29.64 TrueSkill (mu 32.11, sigma 0.82), 215 kills - 208 deaths
qz: 29.62 TrueSkill (mu 32.06, sigma 0.81), 198 kills - 212 deaths
Zilkenberg: 29.36 TrueSkill (mu 31.96, sigma 0.87), 351 kills - 295 deaths
WorldEdit: 29.31 TrueSkill (mu 31.77, sigma 0.82), 760 kills - 681 deaths
maektig: 29.29 TrueSkill (mu 32.05, sigma 0.92), 86 kills - 110 deaths
acAp: 29.18 TrueSkill (mu 31.69, sigma 0.84), 260 kills - 261 deaths
Stylahhhhh: 29.17 TrueSkill (mu 31.91, sigma 0.91), 190 kills - 106 deaths
Golz: 29.08 TrueSkill (mu 32.43, sigma 1.12), 64 kills - 73 deaths
maaRaa: 29.02 TrueSkill (mu 33.12, sigma 1.37), 32 kills - 33 deaths
JohnnyP: 28.97 TrueSkill (mu 31.51, sigma 0.85), 188 kills - 190 deaths
to1nou: 28.95 TrueSkill (mu 31.40, sigma 0.82), 600 kills - 529 deaths
Machinegun: 28.90 TrueSkill (mu 31.48, sigma 0.86), 442 kills - 339 deaths
device: 28.88 TrueSkill (mu 31.30, sigma 0.81), 3103 kills - 2508 deaths
deviaNt: 28.86 TrueSkill (mu 32.88, sigma 1.34), 68 kills - 60 deaths
yam: 28.83 TrueSkill (mu 31.27, sigma 0.81), 595 kills - 605 deaths
aimaNNN: 28.82 TrueSkill (mu 31.32, sigma 0.83), 248 kills - 238 deaths
woxic: 28.81 TrueSkill (mu 31.54, sigma 0.91), 121 kills - 78 deaths
makmuR: 28.75 TrueSkill (mu 32.04, sigma 1.10), 90 kills - 98 deaths
BURNRUOk: 28.75 TrueSkill (mu 31.21, sigma 0.82), 190 kills - 212 deaths
kgs: 28.71 TrueSkill (mu 31.67, sigma 0.98), 91 kills - 95 deaths
SparkeR: 28.64 TrueSkill (mu 31.45, sigma 0.94), 161 kills - 94 deaths
tahsiN: 28.61 TrueSkill (mu 31.35, sigma 0.91), 610 kills - 659 deaths
dupreeh: 28.56 TrueSkill (mu 30.95, sigma 0.80), 2941 kills - 2597 deaths
GeT_RiGhT: 28.46 TrueSkill (mu 30.86, sigma 0.80), 954 kills - 853 deaths
thyx: 28.42 TrueSkill (mu 32.70, sigma 1.43), 34 kills - 34 deaths
BnTeT: 28.32 TrueSkill (mu 31.32, sigma 1.00), 128 kills - 75 deaths
Surreal: 28.28 TrueSkill (mu 36.29, sigma 2.67), 44 kills - 26 deaths
Zac: 28.25 TrueSkill (mu 30.80, sigma 0.85), 312 kills - 274 deaths
nuka: 28.24 TrueSkill (mu 32.22, sigma 1.33), 32 kills - 36 deaths
REZ: 28.24 TrueSkill (mu 30.96, sigma 0.91), 187 kills - 168 deaths
click: 28.23 TrueSkill (mu 30.94, sigma 0.90), 81 kills - 87 deaths
LTN: 28.14 TrueSkill (mu 35.66, sigma 2.51), 57 kills - 53 deaths
Amanek: 28.11 TrueSkill (mu 32.27, sigma 1.39), 32 kills - 39 deaths
stYle: 28.03 TrueSkill (mu 30.72, sigma 0.90), 94 kills - 101 deaths
Rap: 28.02 TrueSkill (mu 31.66, sigma 1.21), 52 kills - 56 deaths
Laz: 28.02 TrueSkill (mu 31.64, sigma 1.21), 56 kills - 47 deaths
ashley: 28.02 TrueSkill (mu 31.58, sigma 1.19), 48 kills - 44 deaths
PeetyG: 28.01 TrueSkill (mu 30.70, sigma 0.90), 151 kills - 153 deaths
Fadey: 28.01 TrueSkill (mu 31.20, sigma 1.06), 110 kills - 119 deaths
Chrisoaow: 27.99 TrueSkill (mu 30.76, sigma 0.92), 144 kills - 133 deaths
xevR: 27.95 TrueSkill (mu 30.40, sigma 0.82), 247 kills - 260 deaths
uki: 27.93 TrueSkill (mu 30.51, sigma 0.86), 280 kills - 271 deaths
Nembo: 27.93 TrueSkill (mu 30.66, sigma 0.91), 165 kills - 104 deaths
k0na: 27.91 TrueSkill (mu 32.10, sigma 1.40), 52 kills - 41 deaths
mikeS: 27.86 TrueSkill (mu 30.58, sigma 0.91), 419 kills - 400 deaths
matHEND: 27.78 TrueSkill (mu 30.24, sigma 0.82), 489 kills - 482 deaths
Calyx: 27.73 TrueSkill (mu 30.42, sigma 0.90), 119 kills - 84 deaths
karrigan: 27.71 TrueSkill (mu 30.09, sigma 0.79), 2469 kills - 2665 deaths
FejtZ: 27.71 TrueSkill (mu 30.19, sigma 0.83), 176 kills - 207 deaths
bondik: 27.70 TrueSkill (mu 30.09, sigma 0.80), 570 kills - 549 deaths
dsr: 27.69 TrueSkill (mu 32.81, sigma 1.71), 64 kills - 51 deaths
RUSH: 27.69 TrueSkill (mu 30.14, sigma 0.81), 854 kills - 798 deaths
spyleadeR: 27.68 TrueSkill (mu 30.15, sigma 0.82), 1118 kills - 1055 deaths
hANZEY: 27.66 TrueSkill (mu 32.87, sigma 1.74), 14 kills - 19 deaths
